ID	(x,y)	        (larg,haut)	 temps(ms)
0	(457, 381)	(40, 51)	40
1	(13, 318)	(44, 79)	40
2	(742, 294)	(26, 50)	40
3	(564, 281)	(45, 76)	40
4	(266, 260)	(32, 83)	40
5	(455, 203)	(30, 60)	40
6	(137, 197)	(69, 73)	40
7	(586, 189)	(31, 69)	40
8	(301, 181)	(28, 70)	40
9	(104, 175)	(30, 70)	40
10	(579, 128)	(27, 66)	40
11	(283, 96)	(24, 61)	40
12	(227, 81)	(25, 85)	40
13	(466, 51)	(36, 63)	40
14	(319, 31)	(22, 53)	40
15	(436, 17)	(18, 43)	40
16	(506, 3)	(32, 47)	40
17	(630, 0)	(138, 151)	40
18	(657, 28)	(16, 15)	40
19	(554, 0)	(23, 75)	40
20	(340, 0)	(76, 124)	40
21	(313, 0)	(26, 9)	40
22	(288, 0)	(27, 46)	40
23	(0, 0)	(166, 114)	40
24	(102, 28)	(17, 13)	40
0	(457, 377)	(40, 55)	80
1	(14, 320)	(44, 77)	80
2	(741, 290)	(27, 53)	80
3	(561, 281)	(47, 76)	80
4	(268, 256)	(30, 82)	80
5	(455, 200)	(30, 61)	80
6	(137, 196)	(69, 74)	80
7	(587, 191)	(31, 69)	80
8	(302, 178)	(28, 70)	80
9	(102, 176)	(32, 69)	80
10	(580, 129)	(28, 65)	80
11	(283, 93)	(23, 59)	80
12	(227, 81)	(26, 86)	80
13	(467, 49)	(35, 64)	80
14	(319, 30)	(23, 52)	80
15	(436, 18)	(18, 44)	80
16	(506, 2)	(33, 48)	80
17	(631, 0)	(137, 151)	80
18	(657, 27)	(17, 16)	80
19	(554, 0)	(23, 75)	80
20	(340, 0)	(76, 127)	80
21	(288, 0)	(51, 44)	80
23	(0, 0)	(166, 114)	80
0	(457, 375)	(40, 57)	120
1	(15, 320)	(43, 77)	120
2	(741, 289)	(27, 54)	120
3	(560, 281)	(47, 76)	120
4	(268, 254)	(31, 81)	120
5	(455, 199)	(30, 59)	120
6	(137, 196)	(69, 74)	120
7	(587, 192)	(31, 68)	120
8	(302, 177)	(28, 69)	120
9	(102, 177)	(31, 68)	120
10	(581, 130)	(27, 64)	120
11	(284, 92)	(22, 59)	120
12	(227, 82)	(26, 86)	120
13	(467, 49)	(35, 64)	120
25	(371, 41)	(46, 87)	120
14	(319, 30)	(23, 51)	120
15	(436, 19)	(18, 44)	120
16	(506, 2)	(32, 47)	120
17	(631, 0)	(137, 151)	120
18	(657, 23)	(17, 21)	120
19	(554, 0)	(24, 75)	120
26	(340, 0)	(39, 86)	120
21	(288, 0)	(51, 43)	120
23	(0, 0)	(168, 114)	120
27	(103, 27)	(16, 12)	120
0	(457, 373)	(40, 59)	160
1	(15, 321)	(43, 76)	160
2	(741, 288)	(27, 66)	160
3	(559, 282)	(47, 75)	160
4	(269, 252)	(30, 78)	160
5	(455, 197)	(30, 59)	160
6	(137, 196)	(69, 74)	160
7	(588, 193)	(30, 67)	160
9	(101, 178)	(31, 67)	160
8	(303, 175)	(27, 68)	160
10	(582, 130)	(27, 64)	160
11	(284, 91)	(22, 59)	160
12	(228, 82)	(25, 86)	160
13	(467, 48)	(35, 65)	160
25	(371, 42)	(46, 87)	160
15	(436, 19)	(18, 45)	160
16	(506, 2)	(32, 47)	160
17	(631, 0)	(137, 154)	160
18	(658, 27)	(17, 17)	160
19	(554, 0)	(24, 75)	160
14	(319, 0)	(60, 86)	160
21	(288, 0)	(51, 42)	160
23	(0, 0)	(168, 112)	160
27	(103, 27)	(16, 12)	160
0	(457, 370)	(40, 62)	200
1	(16, 321)	(42, 76)	200
2	(741, 286)	(27, 66)	200
3	(558, 282)	(48, 74)	200
4	(269, 250)	(30, 76)	200
5	(455, 196)	(30, 57)	200
6	(137, 196)	(69, 73)	200
7	(588, 194)	(30, 66)	200
9	(101, 178)	(30, 67)	200
8	(303, 174)	(26, 66)	200
10	(582, 131)	(28, 63)	200
11	(285, 90)	(21, 59)	200
12	(228, 83)	(25, 85)	200
13	(467, 47)	(35, 65)	200
25	(370, 42)	(47, 87)	200
15	(436, 20)	(18, 44)	200
16	(506, 2)	(32, 47)	200
17	(631, 0)	(137, 154)	200
19	(554, 0)	(24, 74)	200
14	(319, 0)	(60, 86)	200
21	(288, 0)	(51, 41)	200
23	(0, 0)	(170, 112)	200
27	(103, 27)	(16, 11)	200
0	(457, 368)	(39, 64)	240
1	(16, 322)	(42, 74)	240
2	(741, 284)	(27, 65)	240
2	(754, 318)	(11, 25)	240
3	(558, 282)	(46, 74)	240
4	(269, 248)	(30, 75)	240
5	(455, 195)	(30, 56)	240
6	(137, 195)	(69, 74)	240
7	(588, 194)	(31, 65)	240
9	(100, 179)	(31, 66)	240
8	(303, 172)	(26, 65)	240
10	(583, 132)	(27, 62)	240
11	(285, 89)	(22, 60)	240
12	(228, 84)	(26, 84)	240
13	(467, 47)	(35, 65)	240
15	(436, 21)	(18, 44)	240
16	(506, 2)	(32, 47)	240
17	(631, 0)	(137, 155)	240
28	(658, 23)	(19, 21)	240
19	(554, 0)	(24, 74)	240
29	(319, 0)	(98, 130)	240
21	(287, 0)	(52, 40)	240
23	(0, 0)	(171, 112)	240
0	(457, 365)	(39, 67)	280
1	(16, 322)	(42, 74)	280
3	(557, 282)	(46, 74)	280
2	(741, 281)	(27, 65)	280
2	(754, 317)	(9, 22)	280
4	(270, 246)	(29, 74)	280
7	(589, 195)	(30, 65)	280
6	(137, 195)	(69, 74)	280
5	(455, 194)	(30, 55)	280
9	(100, 180)	(31, 68)	280
8	(303, 171)	(25, 64)	280
10	(583, 133)	(28, 64)	280
11	(285, 89)	(22, 60)	280
12	(228, 84)	(26, 83)	280
13	(467, 47)	(35, 64)	280
15	(437, 21)	(17, 45)	280
16	(506, 2)	(32, 47)	280
17	(631, 0)	(137, 155)	280
19	(554, 0)	(24, 74)	280
29	(320, 0)	(97, 130)	280
21	(287, 0)	(51, 39)	280
23	(0, 0)	(171, 112)	280
0	(457, 361)	(38, 71)	320
1	(17, 323)	(41, 73)	320
3	(556, 283)	(44, 73)	320
30	(740, 263)	(28, 77)	320
4	(270, 243)	(29, 77)	320
7	(589, 197)	(31, 64)	320
6	(137, 195)	(69, 74)	320
5	(456, 192)	(29, 56)	320
9	(98, 183)	(42, 71)	320
8	(303, 169)	(24, 64)	320
10	(584, 136)	(28, 67)	320
11	(285, 88)	(23, 60)	320
12	(228, 85)	(25, 82)	320
13	(467, 45)	(35, 63)	320
15	(437, 21)	(18, 45)	320
16	(506, 1)	(32, 48)	320
17	(631, 0)	(137, 155)	320
31	(658, 23)	(22, 21)	320
19	(554, 0)	(25, 74)	320
29	(320, 0)	(97, 130)	320
21	(287, 0)	(51, 39)	320
23	(0, 0)	(172, 111)	320
0	(457, 358)	(38, 74)	360
1	(18, 323)	(40, 73)	360
3	(556, 283)	(42, 73)	360
30	(740, 261)	(28, 76)	360
4	(270, 242)	(30, 77)	360
5	(457, 191)	(28, 57)	360
6	(98, 185)	(108, 84)	360
8	(303, 168)	(23, 65)	360
32	(584, 137)	(37, 128)	360
11	(285, 87)	(23, 61)	360
12	(228, 86)	(25, 82)	360
13	(467, 45)	(35, 61)	360
15	(437, 22)	(18, 44)	360
16	(506, 1)	(32, 48)	360
17	(631, 0)	(137, 155)	360
31	(658, 28)	(22, 15)	360
19	(554, 0)	(25, 74)	360
29	(320, 0)	(97, 130)	360
21	(287, 0)	(52, 39)	360
23	(0, 0)	(172, 111)	360
0	(456, 356)	(38, 76)	400
1	(18, 324)	(42, 72)	400
3	(556, 284)	(41, 72)	400
30	(740, 260)	(28, 76)	400
4	(270, 240)	(30, 79)	400
5	(457, 190)	(28, 58)	400
6	(98, 186)	(108, 82)	400
8	(303, 167)	(23, 66)	400
32	(585, 138)	(37, 131)	400
11	(285, 87)	(23, 61)	400
12	(228, 86)	(25, 83)	400
13	(467, 44)	(34, 61)	400
15	(437, 22)	(18, 44)	400
16	(506, 1)	(32, 48)	400
17	(632, 0)	(136, 156)	400
31	(658, 28)	(22, 15)	400
19	(554, 0)	(25, 74)	400
29	(320, 0)	(97, 130)	400
21	(287, 0)	(51, 39)	400
23	(0, 0)	(172, 111)	400
0	(455, 354)	(38, 78)	440
1	(19, 324)	(43, 72)	440
3	(556, 284)	(40, 72)	440
30	(739, 259)	(29, 77)	440
4	(270, 239)	(30, 80)	440
33	(590, 201)	(33, 71)	440
5	(458, 190)	(27, 58)	440
6	(98, 188)	(108, 80)	440
8	(303, 167)	(23, 66)	440
34	(585, 140)	(28, 67)	440
11	(285, 86)	(23, 61)	440
12	(228, 86)	(25, 85)	440
13	(467, 44)	(34, 60)	440
15	(437, 22)	(18, 44)	440
17	(632, 0)	(136, 156)	440
31	(658, 28)	(22, 15)	440
19	(554, 0)	(25, 73)	440
16	(506, 0)	(32, 49)	440
29	(320, 0)	(97, 130)	440
21	(287, 0)	(51, 38)	440
23	(0, 0)	(173, 111)	440
0	(454, 352)	(38, 78)	480
1	(19, 325)	(46, 71)	480
3	(555, 284)	(39, 71)	480
30	(738, 258)	(30, 78)	480
4	(270, 238)	(30, 80)	480
33	(591, 202)	(32, 72)	480
5	(458, 189)	(27, 58)	480
6	(98, 189)	(108, 79)	480
8	(303, 166)	(23, 67)	480
34	(586, 141)	(28, 68)	480
12	(228, 86)	(25, 87)	480
11	(285, 85)	(23, 61)	480
13	(467, 43)	(34, 61)	480
15	(436, 22)	(19, 44)	480
17	(632, 0)	(136, 156)	480
31	(658, 28)	(22, 15)	480
19	(554, 0)	(25, 73)	480
16	(506, 0)	(32, 49)	480
29	(320, 0)	(97, 130)	480
21	(287, 0)	(51, 38)	480
23	(0, 0)	(173, 111)	480
0	(453, 348)	(37, 81)	520
1	(20, 326)	(51, 69)	520
3	(555, 284)	(35, 71)	520
30	(734, 256)	(34, 79)	520
4	(270, 235)	(30, 80)	520
33	(592, 204)	(32, 72)	520
6	(97, 191)	(108, 76)	520
5	(459, 187)	(26, 59)	520
8	(303, 164)	(23, 67)	520
34	(587, 142)	(29, 67)	520
12	(228, 87)	(25, 88)	520
11	(284, 82)	(23, 60)	520
35	(370, 46)	(47, 85)	520
13	(467, 41)	(34, 62)	520
15	(435, 23)	(20, 44)	520
17	(632, 0)	(136, 156)	520
19	(554, 0)	(24, 73)	520
16	(506, 0)	(32, 49)	520
36	(320, 0)	(59, 80)	520
21	(316, 0)	(19, 21)	520
21	(288, 0)	(30, 37)	520
23	(0, 0)	(172, 111)	520
0	(452, 347)	(37, 82)	560
1	(20, 326)	(53, 69)	560
1	(45, 367)	(13, 19)	560
3	(555, 284)	(34, 71)	560
30	(732, 255)	(36, 80)	560
4	(270, 233)	(29, 81)	560
33	(593, 206)	(32, 71)	560
6	(97, 192)	(108, 75)	560
5	(459, 185)	(27, 60)	560
8	(303, 163)	(23, 67)	560
34	(588, 143)	(28, 66)	560
12	(227, 87)	(26, 89)	560
11	(284, 81)	(23, 59)	560
35	(370, 46)	(47, 88)	560
13	(467, 40)	(34, 63)	560
15	(435, 23)	(20, 45)	560
17	(632, 0)	(136, 157)	560
19	(554, 0)	(24, 73)	560
16	(506, 0)	(31, 49)	560
36	(320, 0)	(60, 79)	560
37	(319, 0)	(17, 21)	560
21	(288, 0)	(30, 36)	560
23	(0, 0)	(172, 111)	560
0	(451, 345)	(37, 84)	600
1	(21, 327)	(54, 69)	600
1	(46, 368)	(14, 19)	600
3	(554, 284)	(33, 71)	600
30	(732, 254)	(36, 81)	600
4	(270, 231)	(29, 80)	600
33	(594, 206)	(31, 72)	600
6	(97, 192)	(108, 75)	600
5	(459, 184)	(27, 60)	600
8	(302, 161)	(23, 68)	600
34	(589, 143)	(28, 65)	600
12	(227, 87)	(26, 89)	600
11	(284, 80)	(22, 58)	600
35	(370, 47)	(47, 88)	600
13	(466, 39)	(35, 64)	600
15	(434, 24)	(21, 45)	600
17	(631, 0)	(137, 157)	600
38	(658, 28)	(22, 13)	600
19	(553, 0)	(24, 73)	600
16	(506, 0)	(31, 49)	600
36	(320, 0)	(59, 79)	600
37	(319, 0)	(18, 21)	600
21	(288, 0)	(31, 35)	600
23	(0, 0)	(172, 110)	600
0	(451, 344)	(36, 85)	640
1	(21, 327)	(55, 68)	640
1	(46, 368)	(16, 21)	640
3	(554, 284)	(32, 71)	640
30	(730, 252)	(38, 82)	640
4	(270, 229)	(28, 79)	640
33	(594, 207)	(32, 71)	640
6	(96, 193)	(109, 74)	640
5	(459, 183)	(27, 59)	640
8	(302, 160)	(23, 67)	640
34	(589, 144)	(29, 64)	640
12	(227, 87)	(26, 90)	640
11	(284, 79)	(21, 58)	640
35	(370, 47)	(47, 89)	640
13	(465, 38)	(36, 65)	640
15	(434, 25)	(21, 45)	640
17	(631, 0)	(137, 157)	640
38	(658, 29)	(22, 12)	640
19	(553, 0)	(24, 72)	640
16	(505, 0)	(32, 48)	640
36	(320, 0)	(59, 79)	640
37	(319, 0)	(22, 20)	640
21	(286, 0)	(33, 34)	640
23	(0, 0)	(172, 110)	640
0	(450, 342)	(36, 86)	680
1	(22, 328)	(55, 69)	680
3	(552, 284)	(32, 71)	680
30	(730, 250)	(38, 82)	680
4	(270, 227)	(28, 77)	680
33	(595, 208)	(32, 69)	680
6	(96, 193)	(109, 74)	680
5	(459, 182)	(27, 57)	680
8	(302, 158)	(23, 65)	680
34	(590, 145)	(29, 63)	680
12	(227, 88)	(26, 89)	680
11	(283, 78)	(22, 58)	680
35	(370, 47)	(47, 90)	680
13	(465, 38)	(36, 64)	680
15	(434, 25)	(21, 45)	680
17	(631, 0)	(137, 157)	680
38	(658, 28)	(21, 12)	680
19	(553, 0)	(23, 72)	680
16	(505, 0)	(32, 48)	680
36	(319, 0)	(60, 79)	680
37	(319, 0)	(26, 20)	680
21	(286, 0)	(34, 33)	680
23	(0, 0)	(172, 111)	680
0	(449, 337)	(35, 88)	720
1	(23, 329)	(54, 70)	720
3	(546, 284)	(35, 70)	720
30	(729, 247)	(37, 81)	720
4	(270, 223)	(28, 74)	720
33	(596, 210)	(32, 67)	720
6	(95, 192)	(110, 74)	720
5	(459, 179)	(27, 55)	720
8	(302, 156)	(23, 62)	720
34	(591, 147)	(29, 66)	720
12	(227, 89)	(25, 88)	720
11	(282, 77)	(22, 58)	720
35	(370, 49)	(48, 89)	720
13	(464, 36)	(37, 66)	720
15	(434, 26)	(21, 45)	720
17	(632, 0)	(136, 141)	720
39	(697, 96)	(20, 23)	720
38	(658, 27)	(21, 13)	720
19	(553, 0)	(22, 72)	720
16	(505, 0)	(32, 48)	720
36	(319, 0)	(61, 78)	720
37	(319, 0)	(32, 20)	720
21	(285, 0)	(33, 31)	720
23	(0, 0)	(173, 111)	720
0	(448, 335)	(35, 87)	760
1	(23, 329)	(53, 71)	760
3	(540, 284)	(39, 70)	760
3	(552, 331)	(12, 18)	760
30	(729, 246)	(36, 78)	760
4	(270, 222)	(28, 72)	760
33	(596, 211)	(33, 66)	760
6	(95, 192)	(109, 74)	760
5	(458, 178)	(28, 55)	760
8	(301, 154)	(24, 63)	760
34	(591, 149)	(30, 67)	760
12	(226, 90)	(26, 87)	760
11	(281, 76)	(22, 59)	760
35	(370, 50)	(48, 89)	760
13	(464, 36)	(37, 65)	760
15	(434, 26)	(21, 45)	760
17	(632, 0)	(136, 141)	760
39	(697, 97)	(19, 23)	760
38	(658, 27)	(21, 13)	760
19	(552, 0)	(23, 72)	760
16	(505, 0)	(32, 48)	760
36	(319, 0)	(61, 78)	760
37	(319, 0)	(34, 20)	760
21	(285, 0)	(25, 31)	760
23	(0, 0)	(172, 111)	760
0	(448, 333)	(35, 85)	800
1	(24, 329)	(51, 72)	800
3	(534, 284)	(43, 70)	800
30	(728, 244)	(36, 77)	800
4	(270, 220)	(28, 74)	800
33	(597, 211)	(32, 66)	800
6	(95, 192)	(109, 75)	800
5	(458, 177)	(27, 55)	800
8	(301, 153)	(24, 63)	800
34	(591, 150)	(30, 69)	800
12	(226, 90)	(27, 87)	800
11	(281, 75)	(22, 60)	800
35	(370, 50)	(48, 89)	800
13	(464, 35)	(36, 65)	800
15	(434, 26)	(21, 45)	800
17	(632, 0)	(136, 141)	800
39	(697, 98)	(23, 22)	800
38	(658, 27)	(21, 13)	800
19	(552, 0)	(22, 72)	800
16	(505, 0)	(31, 47)	800
36	(319, 0)	(61, 78)	800
37	(320, 0)	(34, 20)	800
21	(285, 0)	(25, 31)	800
23	(0, 0)	(174, 111)	800
0	(447, 331)	(35, 82)	840
1	(25, 330)	(51, 72)	840
3	(529, 284)	(47, 70)	840
30	(726, 243)	(37, 75)	840
4	(270, 219)	(28, 75)	840
33	(597, 213)	(33, 68)	840
6	(94, 192)	(110, 79)	840
5	(458, 176)	(27, 56)	840
34	(591, 152)	(31, 68)	840
8	(301, 152)	(24, 64)	840
12	(226, 91)	(27, 86)	840
11	(280, 75)	(23, 60)	840
35	(370, 51)	(48, 88)	840
13	(464, 35)	(36, 64)	840
15	(435, 26)	(20, 45)	840
17	(632, 0)	(136, 141)	840
39	(697, 98)	(23, 22)	840
38	(658, 28)	(21, 13)	840
19	(552, 0)	(22, 72)	840
16	(505, 0)	(32, 47)	840
36	(319, 0)	(61, 78)	840
37	(321, 0)	(33, 19)	840
21	(285, 0)	(25, 31)	840
23	(0, 0)	(175, 111)	840
1	(26, 330)	(50, 72)	880
0	(447, 329)	(35, 78)	880
3	(526, 284)	(48, 70)	880
30	(725, 241)	(38, 74)	880
4	(270, 218)	(28, 76)	880
33	(598, 214)	(33, 71)	880
40	(94, 200)	(47, 74)	880
6	(135, 192)	(69, 74)	880
5	(457, 176)	(28, 55)	880
34	(591, 153)	(31, 69)	880
8	(301, 151)	(24, 65)	880
12	(226, 91)	(27, 86)	880
11	(280, 74)	(23, 60)	880
35	(370, 52)	(48, 87)	880
13	(464, 35)	(36, 62)	880
15	(435, 26)	(20, 45)	880
17	(632, 0)	(136, 140)	880
39	(697, 99)	(24, 20)	880
38	(658, 28)	(21, 13)	880
19	(552, 0)	(21, 72)	880
16	(504, 0)	(32, 47)	880
36	(319, 0)	(62, 77)	880
37	(322, 0)	(32, 19)	880
21	(285, 0)	(24, 30)	880
23	(0, 0)	(176, 110)	880
1	(28, 330)	(48, 72)	920
0	(445, 324)	(36, 77)	920
3	(524, 284)	(46, 69)	920
30	(721, 239)	(40, 73)	920
33	(599, 217)	(33, 74)	920
4	(269, 216)	(29, 77)	920
40	(94, 203)	(45, 74)	920
6	(135, 192)	(69, 74)	920
5	(457, 174)	(28, 57)	920
34	(593, 156)	(30, 68)	920
8	(301, 150)	(24, 65)	920
12	(226, 92)	(28, 86)	920
11	(279, 72)	(23, 60)	920
35	(371, 53)	(47, 86)	920
13	(463, 34)	(36, 60)	920
15	(435, 27)	(20, 44)	920
17	(632, 0)	(136, 140)	920
39	(697, 99)	(24, 22)	920
38	(658, 28)	(20, 13)	920
19	(552, 0)	(21, 71)	920
16	(504, 0)	(34, 47)	920
36	(318, 0)	(63, 77)	920
37	(326, 0)	(28, 19)	920
21	(283, 0)	(27, 30)	920
23	(0, 0)	(177, 110)	920
1	(29, 330)	(47, 72)	960
0	(445, 323)	(36, 75)	960
3	(524, 284)	(45, 69)	960
30	(718, 238)	(42, 74)	960
33	(599, 218)	(33, 75)	960
4	(269, 214)	(29, 79)	960
40	(93, 205)	(46, 74)	960
6	(135, 191)	(69, 75)	960
5	(457, 174)	(28, 57)	960
34	(594, 156)	(30, 68)	960
8	(301, 149)	(24, 66)	960
12	(226, 93)	(29, 87)	960
11	(279, 71)	(23, 59)	960
35	(371, 53)	(47, 86)	960
13	(463, 33)	(36, 60)	960
15	(435, 28)	(20, 45)	960
36	(318, 21)	(46, 55)	960
17	(632, 0)	(136, 140)	960
39	(701, 99)	(21, 21)	960
38	(658, 28)	(19, 14)	960
41	(647, 0)	(12, 29)	960
19	(542, 0)	(30, 71)	960
16	(504, 0)	(33, 47)	960
42	(356, 0)	(25, 71)	960
37	(329, 0)	(25, 19)	960
21	(279, 0)	(31, 29)	960
23	(0, 0)	(177, 110)	960
1	(29, 330)	(47, 72)	1000
0	(444, 321)	(37, 77)	1000
3	(524, 283)	(44, 70)	1000
30	(715, 237)	(43, 74)	1000
33	(600, 220)	(32, 74)	1000
4	(269, 213)	(29, 78)	1000
40	(93, 206)	(45, 74)	1000
6	(135, 191)	(69, 75)	1000
5	(457, 173)	(28, 57)	1000
34	(594, 157)	(30, 67)	1000
8	(302, 148)	(23, 66)	1000
12	(226, 93)	(29, 89)	1000
11	(279, 70)	(23, 58)	1000
35	(371, 53)	(47, 86)	1000
13	(463, 33)	(36, 59)	1000
15	(435, 28)	(20, 46)	1000
36	(318, 21)	(45, 55)	1000
17	(633, 0)	(135, 140)	1000
39	(702, 99)	(20, 21)	1000
38	(659, 28)	(18, 14)	1000
19	(542, 0)	(30, 71)	1000
16	(504, 0)	(34, 47)	1000
42	(356, 0)	(26, 70)	1000
37	(333, 0)	(21, 19)	1000
21	(276, 0)	(34, 29)	1000
23	(0, 0)	(177, 110)	1000
1	(30, 331)	(46, 71)	1040
0	(444, 319)	(37, 79)	1040
3	(524, 283)	(43, 70)	1040
30	(712, 236)	(45, 75)	1040
33	(600, 221)	(33, 75)	1040
4	(269, 211)	(29, 79)	1040
40	(92, 207)	(45, 75)	1040
6	(134, 191)	(70, 75)	1040
5	(457, 172)	(28, 58)	1040
34	(595, 158)	(30, 66)	1040
8	(302, 147)	(23, 67)	1040
12	(226, 93)	(29, 90)	1040
11	(280, 69)	(22, 57)	1040
35	(371, 54)	(48, 86)	1040
13	(463, 32)	(35, 60)	1040
15	(435, 29)	(20, 46)	1040
36	(318, 21)	(43, 55)	1040
17	(633, 0)	(135, 140)	1040
39	(703, 100)	(19, 21)	1040
38	(659, 29)	(18, 13)	1040
19	(504, 0)	(68, 71)	1040
42	(356, 0)	(26, 70)	1040
37	(336, 0)	(18, 19)	1040
21	(274, 0)	(35, 28)	1040
23	(0, 0)	(178, 110)	1040
1	(31, 331)	(45, 71)	1080
0	(443, 318)	(38, 80)	1080
3	(524, 283)	(40, 70)	1080
30	(710, 235)	(46, 76)	1080
33	(601, 223)	(32, 74)	1080
4	(269, 210)	(29, 79)	1080
40	(92, 208)	(44, 74)	1080
6	(134, 191)	(70, 75)	1080
5	(457, 171)	(28, 58)	1080
34	(596, 159)	(30, 65)	1080
8	(302, 146)	(24, 67)	1080
12	(227, 94)	(28, 90)	1080
11	(280, 68)	(22, 57)	1080
35	(370, 54)	(49, 88)	1080
13	(463, 31)	(35, 61)	1080
15	(436, 30)	(19, 46)	1080
36	(318, 21)	(43, 55)	1080
17	(634, 0)	(134, 140)	1080
39	(703, 100)	(19, 22)	1080
38	(659, 30)	(18, 12)	1080
19	(504, 0)	(68, 71)	1080
42	(356, 0)	(27, 69)	1080
37	(340, 0)	(14, 20)	1080
21	(272, 0)	(37, 27)	1080
23	(0, 0)	(178, 110)	1080
1	(32, 332)	(44, 70)	1120
0	(443, 315)	(37, 82)	1120
3	(523, 282)	(35, 70)	1120
30	(710, 233)	(43, 78)	1120
33	(602, 225)	(33, 72)	1120
40	(91, 210)	(40, 72)	1120
4	(270, 206)	(28, 76)	1120
6	(134, 191)	(70, 75)	1120
5	(457, 169)	(28, 58)	1120
34	(597, 161)	(30, 64)	1120
8	(303, 144)	(23, 66)	1120
12	(227, 94)	(29, 92)	1120
11	(281, 67)	(21, 57)	1120
35	(370, 54)	(49, 91)	1120
15	(437, 31)	(19, 46)	1120
13	(462, 30)	(36, 61)	1120
36	(317, 21)	(44, 55)	1120
17	(634, 0)	(134, 141)	1120
39	(704, 101)	(18, 21)	1120
38	(660, 28)	(17, 15)	1120
19	(504, 0)	(68, 71)	1120
42	(356, 0)	(29, 69)	1120
37	(343, 0)	(15, 20)	1120
21	(268, 0)	(41, 25)	1120
23	(0, 0)	(180, 110)	1120
1	(33, 332)	(43, 70)	1160
0	(443, 314)	(36, 83)	1160
3	(523, 283)	(34, 70)	1160
30	(710, 232)	(42, 78)	1160
33	(601, 226)	(34, 71)	1160
40	(90, 211)	(39, 71)	1160
4	(271, 204)	(27, 75)	1160
6	(134, 191)	(70, 75)	1160
5	(457, 168)	(28, 56)	1160
34	(598, 163)	(30, 64)	1160
8	(303, 143)	(23, 65)	1160
12	(228, 95)	(28, 91)	1160
11	(281, 66)	(21, 58)	1160
35	(370, 55)	(49, 91)	1160
15	(436, 32)	(20, 45)	1160
13	(462, 29)	(36, 62)	1160
36	(317, 21)	(44, 55)	1160
17	(634, 0)	(134, 145)	1160
39	(705, 102)	(18, 21)	1160
38	(660, 28)	(17, 16)	1160
19	(504, 0)	(68, 71)	1160
42	(343, 0)	(43, 69)	1160
21	(268, 0)	(42, 24)	1160
23	(0, 0)	(181, 110)	1160
1	(33, 332)	(43, 71)	1200
0	(443, 312)	(36, 85)	1200
3	(523, 283)	(32, 71)	1200
30	(709, 231)	(41, 78)	1200
33	(602, 227)	(34, 70)	1200
40	(90, 211)	(36, 71)	1200
4	(271, 203)	(27, 72)	1200
6	(134, 191)	(70, 75)	1200
5	(457, 166)	(28, 56)	1200
34	(598, 164)	(30, 68)	1200
8	(303, 141)	(23, 64)	1200
12	(228, 95)	(29, 91)	1200
11	(281, 66)	(22, 57)	1200
35	(369, 55)	(50, 92)	1200
15	(438, 32)	(18, 45)	1200
13	(462, 29)	(35, 62)	1200
36	(317, 20)	(41, 56)	1200
17	(634, 0)	(134, 145)	1200
39	(705, 102)	(18, 21)	1200
17	(713, 76)	(20, 13)	1200
38	(661, 27)	(16, 18)	1200
19	(503, 0)	(68, 71)	1200
42	(343, 0)	(43, 69)	1200
21	(268, 0)	(42, 24)	1200
23	(0, 0)	(181, 110)	1200
1	(34, 333)	(42, 73)	1240
0	(443, 310)	(36, 86)	1240
3	(521, 283)	(32, 72)	1240
30	(709, 229)	(40, 78)	1240
40	(89, 212)	(36, 70)	1240
4	(271, 201)	(27, 72)	1240
6	(134, 191)	(70, 75)	1240
43	(599, 166)	(38, 131)	1240
5	(457, 165)	(28, 56)	1240
8	(303, 140)	(23, 63)	1240
12	(228, 96)	(29, 90)	1240
11	(281, 65)	(22, 58)	1240
35	(369, 56)	(50, 92)	1240
15	(438, 32)	(19, 45)	1240
13	(462, 28)	(35, 63)	1240
36	(317, 20)	(41, 56)	1240
17	(634, 0)	(134, 145)	1240
39	(706, 103)	(17, 21)	1240
17	(713, 76)	(21, 14)	1240
38	(661, 27)	(16, 18)	1240
19	(503, 0)	(68, 71)	1240
42	(343, 0)	(43, 69)	1240
21	(268, 0)	(42, 24)	1240
23	(0, 0)	(185, 110)	1240
1	(35, 333)	(41, 75)	1280
0	(443, 308)	(35, 84)	1280
3	(520, 283)	(32, 74)	1280
30	(708, 228)	(40, 77)	1280
40	(89, 213)	(35, 69)	1280
4	(271, 200)	(28, 71)	1280
6	(134, 191)	(70, 75)	1280
43	(599, 168)	(38, 129)	1280
5	(457, 165)	(28, 54)	1280
8	(303, 139)	(23, 62)	1280
12	(229, 97)	(28, 89)	1280
11	(281, 65)	(22, 58)	1280
35	(369, 57)	(50, 92)	1280
15	(438, 33)	(19, 45)	1280
13	(462, 28)	(35, 63)	1280
36	(317, 20)	(40, 56)	1280
17	(634, 0)	(134, 145)	1280
39	(706, 104)	(18, 20)	1280
44	(713, 76)	(24, 15)	1280
38	(661, 27)	(17, 19)	1280
19	(503, 0)	(68, 71)	1280
42	(343, 0)	(43, 69)	1280
21	(268, 0)	(43, 23)	1280
23	(0, 0)	(187, 111)	1280
1	(36, 335)	(41, 78)	1320
0	(442, 305)	(35, 80)	1320
3	(516, 284)	(32, 77)	1320
30	(708, 225)	(38, 74)	1320
40	(88, 216)	(35, 70)	1320
4	(271, 198)	(28, 73)	1320
6	(134, 191)	(70, 75)	1320
